evaluation,pass,horizon,candidates_checked,current_objective,best_delta_objective,best_replacement_objective,accepted,objective_after,replacement_distance
132,3,35,150,-0.002792745676555438,5.583380145984113e-07,-0.0027921873385408397,False,-0.002792745676555438,0.02897672317765333
133,3,36,150,-0.002792745676555438,3.0074975550173355e-08,-0.0027927156015798878,False,-0.002792745676555438,0.028284271247461888
134,3,37,150,-0.002792745676555438,6.938893903907229e-20,-0.002792745676555438,False,-0.002792745676555438,0.0
135,3,38,150,-0.002792745676555438,-6.938893903907229e-20,-0.002792745676555438,False,-0.002792745676555438,0.0
136,3,39,150,-0.002792745676555438,-2.0816681711721684e-19,-0.002792745676555438,False,-0.002792745676555438,0.0
137,3,40,150,-0.002792745676555438,-2.7755575615628914e-19,-0.0027927456765554385,False,-0.002792745676555438,0.0
138,3,41,150,-0.002792745676555438,0.0,-0.002792745676555438,False,-0.002792745676555438,0.0
139,3,42,150,-0.002792745676555438,4.163336342344337e-19,-0.0027927456765554377,False,-0.002792745676555438,0.0
140,3,43,150,-0.002792745676555438,8.560526060359675e-08,-0.0027926600712948344,False,-0.002792745676555438,0.02828427124746185
141,3,44,150,-0.002792745676555438,5.551115123125783e-19,-0.0027927456765554377,False,-0.002792745676555438,0.0
142,3,45,150,-0.002792745676555438,5.551115123125783e-19,-0.0027927456765554377,False,-0.002792745676555438,0.0
143,3,46,150,-0.002792745676555438,3.832773395620603e-08,-0.002792707348821482,False,-0.002792745676555438,0.028284271247461926
144,3,47,150,-0.002792745676555438,4.85722573273506e-19,-0.0027927456765554377,False,-0.002792745676555438,0.0
145,3,48,150,-0.002792745676555438,2.7755575615628914e-19,-0.0027927456765554377,False,-0.002792745676555438,0.0
146,3,49,150,-0.002792745676555438,3.4694469519536144e-19,-0.0027927456765554377,False,-0.002792745676555438,0.0
147,3,50,157,-0.002792745676555438,3.146865497508089e-07,-0.0027924309900056875,False,-0.002792745676555438,0.14084897982887853
