approach,starting_age,terminal_worst_1pct_mean,terminal_worst_2pct_mean,terminal_worst_4pct_mean,terminal_worst_10pct_mean,terminal_worst_50pct_mean,terminal_mean,annual_contribution,normalization
Ours,52,0.5144796489799698,0.6125619805926481,0.7364381141389656,0.9572528369409571,1.7996872818759635,3.1540303172525253,0.0077417840987661,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,53,0.4941088703627307,0.585730933777352,0.7014634133241758,0.9062966841699931,1.6901041470675777,2.926236054722885,0.0072129865781145,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,54,0.476744804217879,0.5616205772854922,0.6668682772766477,0.8584395435443557,1.5852139230855604,2.709890299149223,0.0067110089577207,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,55,0.458705153773401,0.5389384780889308,0.6371030034446676,0.813584969239577,1.4925865002489807,2.5196831230258656,0.0062623719844265,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,56,0.43847191843797856,0.517201274335676,0.6112610496474218,0.7760965488331539,1.405554207755869,2.344474604699035,0.0058556155002927,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,57,0.42701641017653524,0.49967258530884257,0.5871731603743295,0.7419489174193341,1.3239861995397224,2.1774696446903214,0.0054821167013118,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,58,0.4198628925524821,0.4860615460501568,0.5663848184256235,0.7109370253976348,1.2517927399869788,2.0238995178044976,0.0051484821617498,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,59,0.41536937144482927,0.47765267755183516,0.5521188179899463,0.6820403001733122,1.1792868051833587,1.881722267872866,0.0048344652921329,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,60,0.40648779939465335,0.46633460749634065,0.5354685242847939,0.6550021499961574,1.1152143703648838,1.7545318311272113,0.0045492077099728,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,61,0.39782371308957887,0.45365563423866057,0.5189004035269922,0.6322040109929215,1.0606889777278754,1.6365079316771551,0.0042815898119503,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,62,0.3905096405894653,0.44012378544528047,0.5019813929451062,0.6110865835837531,1.006692675541246,1.5275691429434857,0.0040365429794659,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,63,0.39478331719920684,0.4402271961006577,0.4957087179391786,0.5951591158600278,0.9566168375162538,1.4226603855787952,0.0038060269698794,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,64,0.3964384617775171,0.44133397964471954,0.4926115900295986,0.5842313487683422,0.9157066975531556,1.330538611384839,0.0035981641466728,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
